time_min,rr_bpm,ti_s,te_s,vt_ml,vt_ml_kg,raw_insp_cmH2O_s_L,raw_exp_cmH2O_s_L,crs_ml_cmH2O,tau_exp_s,expiratory_residual_fraction,trapped_volume_ml,trapped_volume_ml_kg,autopeep_cmH2O,measured_autopeep_cmH2O,occult_autopeep_cmH2O,total_peep_cmH2O,pplat_cmH2O,ppeak_cmH2O,alveolar_ventilation_l_min,paco2_mmHg,etco2_mmHg,ph,map_mmHg,trigger_work_index,external_peep_excess_cmH2O,barotrauma_risk,hemodynamic_risk,ventilation_risk,global_risk_score,unsafe_physiology,simulation_terminated,safety_message
0.0,30.0,0.64,1.3599999999999999,178.9622277618045,6.391508134350161,30.4192,53.53779200000001,27.926316150625425,1.6489639936000005,0.43834006009821713,124.33919591918826,4.440685568542437,4.7601128336022365,4.603029110093362,0.15708372350887423,9.760112833602236,16.168485022635,16.168485022635,2.316268697886317,54.24793769162573,48.39178805836751,7.293752951605265,64.29797743327956,0.0,0.23988716639776353,low,low,low,0.08321937028925994,False,False,
0.0833,30.0,0.64,1.3599999999999999,179.0108584835944,6.393244945842658,30.408352150640233,53.51869978512682,27.438554610290385,1.6483759533819062,0.4382111087848444,140.1269788446399,5.004534958737139,5.459883444190308,5.279707290532028,0.1801761536582802,10.459883444190307,16.9839464287784,16.9839464287784,2.255363872203583,55.71287256509614,49.54263599995589,7.284675784872277,63.90508741685727,0.2828283181770395,0.0,low,low,low,0.1397779904579796,False,False,
0.1667,30.0,0.64,1.3599999999999999,179.05936754537328,6.39497741233476,30.397536538550494,53.499664307848875,27.376203993316818,1.6477896606817455,0.4380824868642282,142.1028404638211,5.075101445136468,5.549481063824953,5.36634818871873,0.18313287510622356,10.549481063824953,17.090174857204268,17.090174857204268,2.248786475902481,55.875825182367805,49.667516146052705,7.2836840516118695,63.83788920213129,0.33793085425234637,0.0,low,low,low,0.14700788574712273,False,False,
0.25,30.0,0.64,1.3599999999999999,179.10775518768725,6.3967055424174015,30.386753067929156,53.48068539955533,27.367943410470932,1.6472051103063043,0.4379541936488676,142.32265356325664,5.082951912973451,5.559742944699284,5.376271427524207,0.18347151717507693,10.559742944699284,17.10417898438946,17.10417898438946,2.249170039333173,55.86629636826087,49.65675289617649,7.2837419471475044,63.83019279147554,0.34424191099005974,0.0,low,low,low,0.14796574553908534,False,False,
0.3333,30.0,0.64,1.3599999999999999,179.15602165096544,6.3984293446773375,30.376001643259308,53.46176289213639,27.366555998702722,1.646622297077801,0.4378262284518137,142.31943293660865,5.082836890593166,5.559898990825651,5.376422324128405,0.1834766666972465,10.559898990825651,17.10643051855819,17.10643051855819,2.2504364979385456,55.834856977791205,49.628773145310944,7.283933053171586,63.83007575688076,0.34433787935777554,0.0,low,low,low,0.14812662352705014,False,False,
0.4167,30.0,0.64,1.3599999999999999,179.2041671755182,6.400148827697079,30.36528216930786,53.442896617981845,27.36604210878256,1.646041215833841,0.43769859058667504,142.28797214972352,5.081713291061554,5.5587743159219025,5.37533476349648,0.18343955242542265,10.558774315921902,17.107188093229013,17.107188093229013,2.2518123846902403,55.80074115157015,49.59870034806953,7.2841405764174185,63.830919263058576,0.34364620429197007,0.0,low,low,low,0.14818621187586328,False,False,
0.5,30.0,0.64,1.3599999999999999,179.25219200153487,6.401864000054816,30.354594551124777,53.424086409979616,27.36563994722005,1.6454618614273724,0.4375712793676231,142.2530045172947,5.080464447046239,5.557489903824756,5.374092736998539,0.1833971668262171,10.557489903824756,17.107754847281498,17.107754847281498,2.2531994432291493,55.76639048868306,49.568454139223725,7.284349684363959,63.831882572131434,0.34285629085222485,0.0,low,low,low,0.14823284471010556,False,False,
0.5833,30.0,0.64,1.3599999999999999,179.30009636908096,6.40357487032432,30.34393869404215,53.4053321015142,27.365252855609295,1.6448842287266374,0.4374442941093966,142.21766805918875,5.079202430685313,5.5561879848380125,5.3728337813383575,0.18335420349965492,10.556187984838012,17.108296138749267,17.108296138749267,2.254585205590549,55.732114132757935,49.53827752898697,7.284558496409746,63.83285901137149,0.34205561067537765,0.0,low,low,low,0.14827773010096337,False,False,
0.6667,30.0,0.64,1.3599999999999999,179.347880518097,6.405281447074893,30.333314503673428,53.38663352646524,27.364868576689926,1.6443083126151297,0.4373176341273074,142.18236049846388,5.07794144637371,5.5548865870453366,5.37157532967284,0.18331125737249643,10.554886587045337,17.108832936740946,17.108832936740946,2.2559680940843982,55.69795083959161,49.50820094365244,7.284766775371762,63.833835059715994,0.34125525103288196,0.0,low,low,low,0.14832228934486036,False,False,
0.75,30.0,0.64,1.3599999999999999,179.39554468839526,6.40698373887126,30.32272188591255,53.367990519206096,27.364485555322318,1.643734107991548,0.43719129873724527,142.1471320868543,5.076683288816225,5.553587989783229,5.370319586120382,0.18326840366284713,10.553587989783228,17.109367901147333,17.109367901147333,2.257347912441548,55.66390511070751,49.47822787898201,7.284974492429376,63.83480900766258,0.34045661371668584,0.0,low,low,low,0.14836670276874847,False,False,
