time_min,rr_bpm,ti_s,te_s,vt_ml,vt_ml_kg,raw_insp_cmH2O_s_L,raw_exp_cmH2O_s_L,crs_ml_cmH2O,tau_exp_s,expiratory_residual_fraction,trapped_volume_ml,trapped_volume_ml_kg,autopeep_cmH2O,measured_autopeep_cmH2O,occult_autopeep_cmH2O,total_peep_cmH2O,pplat_cmH2O,ppeak_cmH2O,alveolar_ventilation_l_min,paco2_mmHg,etco2_mmHg,ph,map_mmHg,trigger_work_index,external_peep_excess_cmH2O,barotrauma_risk,hemodynamic_risk,ventilation_risk,global_risk_score,unsafe_physiology,simulation_terminated,safety_message,scenario_id,scenario_label,vei_proxy_ml_kg,paco2_etco2_gap_mmHg,pip_minus_pplat_cmH2O
0.0,26.0,0.7692307692307692,1.5384615384615383,175.0,7.0,40.74,102.6648,20.663395507688747,2.5666200000000003,0.5491347080088792,167.37873186825905,6.695149274730362,8.85447657916636,7.6856856707164,1.1687909084499593,11.85447657916636,20.323559016991418,54.27355901699142,1.568614251792482,75.64798028859062,59.93369967284588,7.184436222604621,58.07899457250841,0.0,0.0,warning,low,warning,0.481411314376473,False,False,,high_rr_dynamic_hyperinflation,High respiratory rate,13.695149274730362,15.714280615744734,33.95
0.0833,26.0,0.7692307692307692,1.5384615384615383,175.0,7.0,40.72547163032174,102.62818850841077,19.38651713080421,2.5657047127102697,0.5490172971431249,212.98153104270673,8.51926124170827,12.008989364794738,10.423802768641833,1.585186596152905,15.008989364794738,24.035881550701287,57.9737745759694,1.3711534815421345,86.54209874925193,67.4728009819337,7.142839759642338,54.96437364996602,0.0,0.0,warning,warning,warning,1.2270369062976927,False,False,,high_rr_dynamic_hyperinflation,High respiratory rate,15.51926124170827,19.069297767318233,33.93789302526811
0.1667,26.0,0.7692307692307692,1.5384615384615383,175.0,7.0,40.710986435558695,102.5916858176079,19.040400240692932,2.5647921454401974,0.5489001767868814,225.342848546681,9.013713941867241,12.936953448560537,11.229275593350547,1.7076778552099903,15.936953448560537,25.1279367150778,59.05375874471005,1.3159534985714256,90.17225922406664,69.96835976603543,7.130461685495341,54.04559525249573,0.0,0.0,warning,warning,warning,1.5157213850692495,False,False,,high_rr_dynamic_hyperinflation,High respiratory rate,16.01371394186724,20.203899458031202,33.92582202963225
0.25,26.0,0.7692307692307692,1.5384615384615383,175.0,7.0,40.696544287405125,102.5552916042609,18.948232885840138,2.563882290106523,0.548783346382712,228.63453979142352,9.14538159165694,13.18977644699237,11.448725955989378,1.7410504910029925,16.18977644699237,25.425466184095825,59.339253090266766,1.3012256467990124,91.19286903997569,70.66807022549891,7.127098601343949,53.795442488946804,0.0,0.0,warning,warning,warning,1.5949037863143767,False,False,,high_rr_dynamic_hyperinflation,High respiratory rate,16.145381591656943,20.52479881447678,33.91378690617094
0.3333,26.0,0.7692307692307692,1.5384615384615383,175.0,7.0,40.68214505793657,102.51900554600016,18.92531638020618,2.562975138650004,0.548666805373349,229.45298642120784,9.178119456848314,13.253020657397153,11.503621930620728,1.749398726776425,16.25302065739715,25.499893813136357,59.401681361416834,1.297664189051657,91.44314916073894,70.83888674613407,7.12628142219098,53.73330010638976,0.0,0.0,warning,warning,warning,1.6143743338483687,False,False,,high_rr_dynamic_hyperinflation,High respiratory rate,16.178119456848314,20.604262414604875,33.90178754828048
0.4167,26.0,0.7692307692307692,1.5384615384615383,175.0,7.0,40.66778861960874,102.48282732141404,18.921270736164423,2.5620706830353512,0.5485505532017005,229.59747370841345,9.183898948336537,13.264201601112115,11.513326989765316,1.7508746113467986,16.264201601112113,25.513051873389053,59.402875723063005,1.2971548862314446,91.47905254764439,70.86260897868533,7.126164436509653,53.72280865633965,0.0,0.0,warning,warning,warning,1.6173794381429354,False,False,,high_rr_dynamic_hyperinflation,High respiratory rate,16.183898948336537,20.616443568959056,33.88982384967395
0.5,26.0,0.7692307692307692,1.5384615384615383,175.0,7.0,40.6534748452564,102.44675661004612,18.92236025058496,2.5611689152511534,0.5484345893108556,229.55856247910873,9.18234249916435,13.261190040436457,11.510712955098844,1.7504770853376126,16.261190040436457,25.509507781062396,59.38740348544273,1.2974765163685664,91.45637589813012,70.84614462414909,7.126238317875649,53.726397191434344,0.0,0.0,warning,warning,warning,1.6158933650849212,False,False,,high_rr_dynamic_hyperinflation,High respiratory rate,16.18234249916435,20.61023127398103,33.877895704380336
0.5833,26.0,0.7692307692307692,1.5384615384615383,175.0,7.0,40.63920360809217,102.41079309239227,18.924841736101367,2.560269827309807,0.5483189131440901,229.46993799637974,9.17879751985519,13.254332183466609,11.504760335249017,1.7495718482175917,16.25433218346661,25.501437255218246,59.36744026196172,1.2980231443403043,91.41786147450242,70.8188173744885,7.1263638544640635,53.73380024275318,0.0,0.0,warning,warning,warning,1.6131916987652815,False,False,,high_rr_dynamic_hyperinflation,High respiratory rate,16.178797519855188,20.599044100013913,33.86600300674347
0.6667,26.0,0.7692307692307692,1.5384615384615383,175.0,7.0,40.62497478170548,102.3749364498978,18.92769560150736,2.5593734112474453,0.5482035241448722,229.36801423188004,9.174720569275202,13.246447437076936,11.49791637538278,1.7485310616941554,16.246447437076938,25.492158255992656,59.34630390741389,1.2986296896340463,91.37516333346657,70.78862221891336,7.126503108987741,53.742220383971635,0.0,0.0,warning,warning,warning,1.6101671869305823,False,False,,high_rr_dynamic_hyperinflation,High respiratory rate,16.174720569275202,20.586541114553214,33.854145651421234
0.75,26.0,0.7692307692307692,1.5384615384615383,175.0,7.0,40.61078824006145,102.33918636495486,18.930644266516566,2.5584796591238717,0.5480884217568681,229.26270476726555,9.170508190690622,13.238303272527714,11.490847240554055,1.747456031973659,16.238303272527716,25.48257396592033,59.324897499304875,1.2992512113512384,91.33145227287449,70.75773439830925,7.126645755590308,53.75089614622976,0.0,0.0,warning,warning,warning,1.60706279786069,False,False,,high_rr_dynamic_hyperinflation,High respiratory rate,16.170508190690622,20.573717874565233,33.842323533384544
