time_min,rr_bpm,ti_s,te_s,vt_ml,vt_ml_kg,raw_insp_cmH2O_s_L,raw_exp_cmH2O_s_L,crs_ml_cmH2O,tau_exp_s,expiratory_residual_fraction,trapped_volume_ml,trapped_volume_ml_kg,autopeep_cmH2O,measured_autopeep_cmH2O,occult_autopeep_cmH2O,total_peep_cmH2O,pplat_cmH2O,ppeak_cmH2O,alveolar_ventilation_l_min,paco2_mmHg,etco2_mmHg,ph,map_mmHg,trigger_work_index,external_peep_excess_cmH2O,barotrauma_risk,hemodynamic_risk,ventilation_risk,global_risk_score,unsafe_physiology,simulation_terminated,safety_message
0.0,14.0,1.0714285714285714,3.2142857142857144,400.0,12.5,30.4192,62.055167999999995,14.79106045284393,1.0921709568,0.05270608608801061,22.39867189325145,0.6999584966641078,1.6311107947445729,1.523457482291431,0.1076533124531418,4.631110794744573,31.674472646672545,64.62860598000587,4.3021787362382105,33.37918036514807,29.26567857110018,7.454966385776581,67.27026515004844,0.0,1.3688892052554271,warning,low,low,2.3199958496664106,False,False,
0.0833,14.0,1.0714285714285714,3.2142857142857144,400.0,12.5,30.408352150640233,62.03303838730607,14.78030990132371,1.091781475616587,0.052650779429531315,23.09675965430461,0.721773739197019,1.6831701513975896,1.5720809214053488,0.1110892299922408,4.68317015139759,31.74620216293724,64.68858365946416,4.2974217428099,33.41612915703825,29.291115469398424,7.454627421009655,67.22757499639873,0.0,1.3168298486024104,warning,low,low,2.322177373919702,False,False,
0.1667,14.0,1.0714285714285714,3.2142857142857144,400.0,12.5,30.397536538550494,62.010974538643005,14.780344159738638,1.091393151880117,0.052595655670041784,23.094535081906688,0.721704221309584,1.6830041353453116,1.5719258624125212,0.11107827293279038,4.683004135345311,31.745973419213005,64.6766380026427,4.297436908370873,33.41601123224842,29.29103429206886,7.454628502068761,67.22771113428509,0.0,1.3169958646546884,warning,low,low,2.3221704221309585,False,False,
0.25,14.0,1.0714285714285714,3.2142857142857144,400.0,12.5,30.386753067929156,61.98897625857548,14.780724773813194,1.0910059821509284,0.0525407141767901,23.069819882260223,0.720931871320632,1.681159733827039,1.5702031913944545,0.11095654243258446,4.681159733827039,31.743432127172355,64.66241461742894,4.29760539627293,33.414701155331514,29.290132455646216,7.45464051234889,67.22922359600703,0.0,1.318840266172961,warning,low,low,2.3220931871320634,False,False,
0.3333,14.0,1.0714285714285714,3.2142857142857144,400.0,12.5,30.376001643259308,61.967043352248986,14.781115240803045,1.0906199629995823,0.05248595431925792,23.04446488291925,0.7201395275912266,1.67926768519353,1.568436017970757,0.11083166722277293,4.67926768519353,31.74082518498259,64.6481602985135,4.29777824037699,33.41335731352288,29.28920737074736,7.45465283280593,67.23077512971913,0.0,1.32073231480647,warning,low,low,2.322013952759123,False,False,
0.4167,14.0,1.0714285714285714,3.2142857142857144,400.0,12.5,30.36528216930786,61.94517562538803,14.781504730805816,1.0902350910068295,0.052431375469152657,23.019173324297707,0.7193491663843034,1.6773804702386272,1.5666733592028779,0.11070711103574937,4.677380470238627,31.73822490283341,64.63394725291693,4.297950646533561,33.412016984378525,29.288284698624878,7.454665121697565,67.23232269967724,0.0,1.3226195297613728,warning,low,low,2.32193491663843,False,False,
0.5,14.0,1.0714285714285714,3.2142857142857144,400.0,12.5,30.354594551124777,61.92337288429454,14.781892900310142,1.089851362763584,0.05237697700040094,22.99396751232859,0.7185614847602685,1.6754997525071635,1.5649167688416907,0.11058298366547281,4.6754997525071635,31.735633572825098,64.61977766987694,4.2981224627374655,33.410681348650876,29.287365252147517,7.454677368192188,67.23386494172728,0.0,1.3245002474928365,warning,low,low,2.321856148476027,False,False,
0.5833,14.0,1.0714285714285714,3.2142857142857144,400.0,12.5,30.34393869404215,61.90163493584599,14.782279743027715,1.0894687748708896,0.05232275828914084,22.968847855343277,0.7177764954794774,1.6736255614483182,1.5631662743927293,0.11045928705558894,4.673625561448318,31.733051235533942,64.60565148741293,4.298293686261203,33.40935042642719,29.286449045198186,7.454689572098976,67.23540183172007,0.0,1.3263744385516818,warning,low,low,2.321777649547948,False,False,
0.6667,14.0,1.0714285714285714,3.2142857142857144,400.0,12.5,30.333314503673428,61.879961587493796,14.78266526348336,1.0890873239398908,0.052268718713714656,22.94381405952224,0.71699418936007,1.6717578741247503,1.561421854432517,0.11033601969223339,4.671757874124751,31.730477859355936,64.59156857166882,4.298464319163289,33.40802420059471,29.285536066051236,7.454701733568223,67.23693338846488,0.0,1.3282421258752497,warning,low,low,2.321699418936007,False,False,
0.75,14.0,1.0714285714285714,3.2142857142857144,400.0,12.5,30.32272188591255,61.8583526472616,14.783049466530109,1.088707006591804,0.052214857654662036,22.91886580973331,0.7162145565541659,1.669896666017357,1.5596834860602116,0.11021317995714552,4.669896666017357,31.727913410507654,64.57752878691292,4.298634363647053,33.40670265292441,29.284626302212093,7.4547138527605155,67.23845963206809,0.0,1.330103333982643,warning,low,low,2.3216214556554164,False,False,
