time_min,rr_bpm,ti_s,te_s,vt_ml,vt_ml_kg,raw_insp_cmH2O_s_L,raw_exp_cmH2O_s_L,crs_ml_cmH2O,tau_exp_s,expiratory_residual_fraction,trapped_volume_ml,trapped_volume_ml_kg,autopeep_cmH2O,measured_autopeep_cmH2O,occult_autopeep_cmH2O,total_peep_cmH2O,pplat_cmH2O,ppeak_cmH2O,alveolar_ventilation_l_min,paco2_mmHg,etco2_mmHg,ph,map_mmHg,trigger_work_index,external_peep_excess_cmH2O,barotrauma_risk,hemodynamic_risk,ventilation_risk,global_risk_score,unsafe_physiology,simulation_terminated,safety_message
0.0,20.0,0.75,2.25,162.5,6.5,48.0,123.11999999999999,22.516805819537066,3.078,0.48143013734699724,113.68550644510486,4.547420257804195,5.498832704513821,4.863717527142474,0.6351151773713468,8.49883270451382,15.715664492395753,63.71566449239575,1.2961655249712842,69.07779004690286,56.61571172821113,7.21341816235214,60.875875471614634,0.0,0.0,low,low,low,1.1047420257804195,False,False,
0.0833,20.0,0.75,2.25,162.5,6.5,48.0,123.11999999999999,21.5754540978136,3.078,0.48143013734699724,147.30521079237144,5.892208431694858,7.435845432091917,6.577005284685301,0.8588401474066165,10.435845432091917,17.967552494353345,65.96755249435334,1.2003820710304756,74.58979283415742,60.555388192444745,7.1888837337630065,59.22302313366518,0.0,0.0,warning,low,low,1.305918440591448,False,False,
0.1667,20.0,0.75,2.25,162.5,6.5,48.0,123.11999999999999,21.297072380031352,3.078,0.48143013734699724,157.24741499888034,6.289896599955214,8.04147649088886,7.112685956191196,0.9287905346976633,11.04147649088886,18.67163321385534,66.67163321385534,1.1714935216512834,76.42914650846197,61.86350774931662,7.181203568318671,58.63055686156943,0.0,0.0,warning,low,warning,1.4326010074681226,False,False,
0.25,20.0,0.75,2.25,162.5,6.5,48.0,123.11999999999999,21.214747804628743,3.078,0.48143013734699724,160.18757840611624,6.4075031362446495,8.223622223122467,7.273793856351822,0.9498283667706451,11.223622223122467,18.883388037757555,66.88338803775756,1.1628991386013416,76.99399460187777,62.26461226789153,7.178892246401912,58.45234376789256,0.0,0.0,warning,low,warning,1.4743681095523613,False,False,
0.3333,20.0,0.75,2.25,162.5,6.5,48.0,123.11999999999999,21.190402327600975,3.078,0.48143013734699724,161.05705972853664,6.442282389141465,8.277758513568237,7.321677405251106,0.9560811083171314,11.277758513568237,18.946324569453836,66.94632456945384,1.160353018900145,77.16293967577906,62.384527941806724,7.178205139627839,58.39937362812493,0.0,0.0,warning,low,warning,1.4867956775979423,False,False,
0.4167,20.0,0.75,2.25,162.5,6.5,48.0,123.11999999999999,21.183202748996273,3.078,0.48143013734699724,161.31418753584742,6.452567501433897,8.293791836245237,7.335858879158912,0.9579329570863253,11.293791836245237,18.964964223418832,66.96496422341883,1.1595996677647267,77.2130697248235,62.420105048073815,7.178001628476963,58.383685435401404,0.0,0.0,warning,low,warning,1.4904775428479984,False,False,
0.5,20.0,0.75,2.25,162.5,6.5,48.0,123.11999999999999,21.181073649943247,3.078,0.48143013734699724,161.39022678774117,6.455609071509647,8.298535387026615,7.34005454982504,0.9584808372015745,11.298535387026615,18.970478872310487,66.97047887231048,1.1593768477211497,77.22790926521506,62.4306361981104,7.177941417332418,58.37904397171356,0.0,0.0,warning,low,warning,1.4915669535911733,False,False,
0.5833,20.0,0.75,2.25,162.5,6.5,48.0,123.11999999999999,21.180444021040433,3.078,0.48143013734699724,161.4127135342702,6.456508541370808,8.299938358711188,7.3412954782800455,0.9586428804311424,11.299938358711188,18.972109907077886,66.97210990707788,1.1593109510975235,77.23229899211748,62.43375141136609,7.177923608936556,58.37767119182462,0.0,0.0,warning,low,warning,1.4918891717211016,False,False,
0.6667,20.0,0.75,2.25,162.5,6.5,48.0,123.11999999999999,21.180257823712186,3.078,0.48143013734699724,161.41936343885064,6.4567745375540255,8.30035326920881,7.341662466615191,0.958690802593618,11.30035326920881,18.972592264244764,66.97259226424477,1.15929146351792,77.23359725974208,62.434672736687645,7.177918342327547,58.37726520998923,0.0,0.0,warning,low,warning,1.4919844643541822,False,False,
0.75,20.0,0.75,2.25,162.5,6.5,48.0,123.11999999999999,21.180202760412364,3.078,0.48143013734699724,161.42132998527262,6.456853199410904,8.300475970224884,7.34177099566391,0.9587049745609741,11.300475970224884,18.972734911188688,66.9727349111887,1.1592857005201571,77.23398120051529,62.43494520284828,7.177916784838366,58.37714514942192,0.0,0.0,warning,low,warning,1.4920126452113347,False,False,
