time_min,rr_bpm,ti_s,te_s,vt_ml,vt_ml_kg,raw_insp_cmH2O_s_L,raw_exp_cmH2O_s_L,crs_ml_cmH2O,tau_exp_s,expiratory_residual_fraction,trapped_volume_ml,trapped_volume_ml_kg,autopeep_cmH2O,measured_autopeep_cmH2O,occult_autopeep_cmH2O,total_peep_cmH2O,pplat_cmH2O,ppeak_cmH2O,alveolar_ventilation_l_min,paco2_mmHg,etco2_mmHg,ph,map_mmHg,trigger_work_index,external_peep_excess_cmH2O,barotrauma_risk,hemodynamic_risk,ventilation_risk,global_risk_score,unsafe_physiology,simulation_terminated,safety_message,scenario_id,scenario_label,vei_proxy_ml_kg,paco2_etco2_gap_mmHg,pip_minus_pplat_cmH2O
0.0,14.0,1.0714285714285714,3.2142857142857144,121.5183838091885,6.7510213227326945,79.87789887783602,179.72527247513105,14.388559385882195,2.749796668869505,0.3107030652662443,44.8456073485044,2.4914226304724667,3.431893020813125,2.8656306723789595,0.5662623484341656,6.431893020813125,14.877379504221619,19.0,0.790673273341528,88.4094636265841,18.226611439336594,7.136389496390564,57.63761122801784,0.0,0.0,low,low,warning,0.7647905538447364,False,False,,silent_chest_low_etco2,Silent chest / EtCO2 pitfall,9.24244395320516,70.1828521872475,4.122620495778381
0.0833,14.0,1.0714285714285714,3.2142857142857144,113.74953474306768,6.319418596837093,79.80365202290196,179.5582170515294,14.369498721906163,2.7472407208883998,0.3103653516289067,53.38328991954076,2.9657383288633756,4.090673920897542,3.4157127239494476,0.6749611969480944,7.090673920897542,15.006714483235156,19.0,0.68456339156755,102.11326059947841,20.78272320559246,7.093966389416639,56.25638820865806,0.0,0.0,low,low,warning,1.4108662520566908,False,False,,silent_chest_low_etco2,Silent chest / EtCO2 pitfall,9.28515692570047,81.33053739388595,3.9932855167648444
0.1667,14.0,1.0714285714285714,3.2142857142857144,112.33810298903632,6.241005721613129,79.7297133927,179.391855133575,14.36493121557093,2.7446953835436974,0.31002878069807316,54.97895722322866,3.0543865124015923,4.214286846718709,3.518929517010122,0.6953573297085871,7.214286846718709,15.034589032869587,19.0,0.6656983543889681,105.00701937916408,21.319758014487423,7.08597024830087,55.996570550616866,0.0,0.0,low,low,warning,1.5415219210280393,False,False,,silent_chest_low_etco2,Silent chest / EtCO2 pitfall,9.29539223401472,83.68726136467666,3.9654109671304134
0.25,14.0,1.0714285714285714,3.2142857142857144,112.14270309126745,6.230150171737081,79.65608131497889,179.2261829587025,14.363070909655727,2.742160599268148,0.3096933479887239,55.24939467051837,3.069410815028798,4.235565133426538,3.5366968864111588,0.6988682470153789,7.235565133426538,15.043275879732073,19.0,0.6631917417674628,105.40390598607655,21.3913673353409,7.084896627514477,55.95729698267321,0.0,0.0,low,low,warning,1.5593032630867527,False,False,,silent_chest_low_etco2,Silent chest / EtCO2 pitfall,9.29956098676588,84.01253865073565,3.9567241202679266
0.3333,14.0,1.0714285714285714,3.2142857142857144,112.17937480186288,6.232187488992382,79.58275412485696,179.06119678092816,14.361717990428845,2.7396363107482005,0.3093590490160916,55.26729449176348,3.0704052495424157,4.237336514091621,3.5381759892665032,0.6991605248251176,7.237336514091621,15.04833620623313,19.0,0.6637961197627074,105.30793705903072,21.371144603395745,7.085155734841306,55.960300245182616,0.0,0.0,low,low,warning,1.5550066497816122,False,False,,silent_chest_low_etco2,Silent chest / EtCO2 pitfall,9.302592738534798,83.93679245563497,3.951663793766871
0.4167,14.0,1.0714285714285714,3.2142857142857144,112.26009309342616,6.236671838523676,79.50973016476892,178.89689287073008,14.360462691847163,2.73712246092217,0.3090258792957112,55.2372100925706,3.0687338940317,4.235400145862906,3.5365591217955266,0.6988410240673795,7.235400145862906,15.052703494811361,19.0,0.6649912409087176,105.11867781066832,21.333550611928075,7.0856676493648525,55.971330051820864,0.0,0.0,low,low,warning,1.5465277555442665,False,False,,silent_chest_low_etco2,Silent chest / EtCO2 pitfall,9.305405732555375,83.78512719874024,3.947296505188639
0.5,14.0,1.0714285714285714,3.2142857142857144,112.34898308786025,6.241610171547792,79.43700778441284,178.73326751492888,14.35922883065395,2.7346189929784117,0.30869383434346587,55.19808928912318,3.066560516062399,4.232764178714515,3.5343580892266195,0.6984060894878952,7.232764178714515,15.056929697131398,19.0,0.6662965671003425,104.91274224060771,21.292862732586617,7.0862260802055586,55.98385302615519,0.0,0.0,low,low,warning,1.5372932970697273,False,False,,silent_chest_low_etco2,Silent chest / EtCO2 pitfall,9.30817068761019,83.6198795080211,3.943070302868602
0.5833,14.0,1.0714285714285714,3.2142857142857144,112.43921080136889,6.246622822298272,79.36458534069752,178.57031701656942,14.358002260773514,2.732125850353512,0.30836290967563534,55.15733666322884,3.064296481290491,4.230000466367497,3.53205038941686,0.697950076950637,7.230000466367497,15.061118525775813,19.0,0.6676205488495298,104.70468609820297,21.251793603488707,7.086791759503948,55.99662623385152,0.0,0.0,low,low,warning,1.527954760067829,False,False,,silent_chest_low_etco2,Silent chest / EtCO2 pitfall,9.310919303588763,83.45289249471426,3.9388814742241873
0.6667,14.0,1.0714285714285714,3.2142857142857144,112.52947692580857,6.251637606989365,79.29246119769024,178.40803769480306,14.35678034944967,2.729642976730487,0.30803310080894125,55.11635771823831,3.062019873235462,4.227217552287287,3.5297266561598843,0.6974908961274022,7.227217552287287,15.065289472787352,19.0,0.6689457713844347,104.49725970362347,21.210855726623112,7.0873572320485705,56.00941372160493,0.0,0.0,low,low,warning,1.5186354563835345,False,False,,silent_chest_low_etco2,Silent chest / EtCO2 pitfall,9.313657480224826,83.28640397700036,3.9347105272126477
0.75,14.0,1.0714285714285714,3.2142857142857144,112.61953537772233,6.256640854317907,79.22063372656488,178.24642588477099,14.3555625961915,2.727170316036996,0.3077044032605925,55.075418725477626,3.059745484748757,4.224436005302162,3.527404064427305,0.6970319408748571,7.224436005302162,15.069446232041729,19.0,0.6702689298555705,104.2909746914014,21.170144351973832,7.087921090257616,56.02217086966631,0.0,0.0,low,low,warning,1.509358449637201,False,False,,silent_chest_low_etco2,Silent chest / EtCO2 pitfall,9.316386339066664,83.12083033942757,3.930553767958271
