time_min,rr_bpm,ti_s,te_s,vt_ml,vt_ml_kg,raw_insp_cmH2O_s_L,raw_exp_cmH2O_s_L,crs_ml_cmH2O,tau_exp_s,expiratory_residual_fraction,trapped_volume_ml,trapped_volume_ml_kg,autopeep_cmH2O,measured_autopeep_cmH2O,occult_autopeep_cmH2O,total_peep_cmH2O,pplat_cmH2O,ppeak_cmH2O,alveolar_ventilation_l_min,paco2_mmHg,etco2_mmHg,ph,map_mmHg,trigger_work_index,external_peep_excess_cmH2O,barotrauma_risk,hemodynamic_risk,ventilation_risk,global_risk_score,unsafe_physiology,simulation_terminated,safety_message
0.0,12.0,1.25,3.75,228.9597344693717,10.407260657698714,34.92,75.4272,19.51328987537319,1.6593984,0.10436560228403918,24.851341410157254,1.1296064277344207,1.371765403468856,1.2812288868399115,0.09053651662894446,11.371765403468856,23.105293472373887,24.0,2.005920493475405,54.89689165556659,48.18859180697479,7.2896955300299515,54.782058649132786,0.0,8.628234596531144,low,warning,low,0.1682161319344611,False,False,
0.0833,12.0,1.25,3.75,225.16137934923074,10.234608152237762,34.20939616947026,73.89229572605576,19.593276151808702,1.6256305059732268,0.09957966898595513,25.793043800458587,1.1724110818390268,1.4179340836925265,1.32435043416882,0.09358364952370657,11.417934083692526,22.90970185160844,24.0,1.9597681802813918,56.189707082696216,49.31305073276585,7.2817836542973025,54.77051647907687,0.0,8.582065916307474,low,warning,low,0.15600082480255414,False,False,
0.1667,12.0,1.25,3.75,224.97020733850616,10.225918515386644,34.197228605869306,73.8660137886777,19.597151858995357,1.6250523033509094,0.0994979703881259,25.845797697373982,1.1748089862442719,1.420553153625388,1.3267966454861124,0.0937565081392755,11.420553153625388,22.900293115697572,24.0,1.957432287093941,56.25676082184455,49.37130888282217,7.281379354948424,54.769861711593656,0.0,8.579446846374612,low,warning,low,0.1554153027235146,False,False,
0.25,12.0,1.25,3.75,224.99494809814158,10.227043095370071,34.1850972014203,73.83980995506784,19.59683303480279,1.6244758190114923,0.0994165234811729,25.832443516044563,1.1742019780020256,1.419842271905226,1.3261326819594812,0.09370958994574474,11.419842271905226,22.90103148745675,24.0,1.9577538085493205,56.24752178702036,49.3633605855183,7.281435026631362,54.770039432023694,0.0,8.580157728094774,low,warning,low,0.15545521186896347,False,False,
0.3333,12.0,1.25,3.75,225.03565072378015,10.22889321471728,34.17300184866672,73.81368399312012,19.596203510517988,1.6239010478486426,0.09933532749003637,25.814223900577502,1.1733738136626137,1.4188864375233807,1.3252399326468376,0.09364650487654314,11.41888643752338,22.902521550977646,24.0,1.9582717312363906,56.23264547176733,49.350519986016366,7.281524690331766,54.770278390619154,0.0,8.58111356247662,low,warning,low,0.15554147679671246,False,False,
0.4167,12.0,1.25,3.75,225.07743138583385,10.23079233571972,34.160942440471345,73.7876356714181,19.59555251844209,1.623327984771198,0.09925438164191797,25.795692955520085,1.1725314979781858,1.4179149822416073,1.3243325934136612,0.09358238882794612,11.417914982241607,22.904063748600976,24.0,1.9588028895624974,56.21739715964747,49.33735631458923,7.2816166261861985,54.7705212544396,0.0,8.582085017758393,low,warning,low,0.15563096640715052,False,False,
0.5,12.0,1.25,3.75,225.11918339223018,10.232690154192282,34.14891887001537,73.7616647592332,19.594901575504167,1.6227566247031302,0.09917368516627696,25.777188911192315,1.171690405054196,1.4169449375629737,1.3234265716838174,0.0935183658791563,11.416944937562974,22.905606032633465,24.0,1.959333664749498,56.20216810498111,49.32420910828965,7.281708476288024,54.77076376560926,0.0,8.583055062437026,low,warning,low,0.15572047155069713,False,False,
0.5833,12.0,1.25,3.75,225.16082478510384,10.234582944777447,34.13693103079742,73.73577102652243,19.5942522773224,1.6221869625834933,0.09909323729482448,25.75873673909614,1.1708516699589155,1.415977561030865,1.322523042002828,0.09345451902803692,11.415977561030864,22.907144541956995,24.0,1.9598630482441244,56.186987197221434,49.31110343907517,7.281800066213706,54.77100560974228,0.0,8.584022438969136,low,warning,low,0.15580975415748413,False,False,
0.6667,12.0,1.25,3.75,225.20234975907528,10.23647044359433,34.124978816632606,73.70995424392643,19.593604738418275,1.6216189933663814,0.09901303726151889,25.74033815455779,1.1700153706617178,1.4150129391795434,1.3216220851936935,0.0933908539858499,11.415012939179544,22.908678998366113,24.0,1.96039096858118,56.17185641275309,49.29804102307976,7.281891383763265,54.77124676520511,0.0,8.584987060820456,low,warning,low,0.1558987970785972,False,False,
0.75,12.0,1.25,3.75,225.24375816259152,10.23835264375416,34.113062121651616,73.68421418276749,19.59295896329942,1.6210527120208846,0.09893308430256051,25.721993148143508,1.1691815067337958,1.4140510716980388,1.3207237009659683,0.09332737073207054,11.414051071698038,22.910209389821766,24.0,1.9609174238664513,56.15677573146989,49.2850218438078,7.281982428776873,54.771487232075486,0.0,8.585948928301962,low,warning,low,0.15598759957709638,False,False,
