time_min,rr_bpm,ti_s,te_s,vt_ml,vt_ml_kg,raw_insp_cmH2O_s_L,raw_exp_cmH2O_s_L,crs_ml_cmH2O,tau_exp_s,expiratory_residual_fraction,trapped_volume_ml,trapped_volume_ml_kg,autopeep_cmH2O,measured_autopeep_cmH2O,occult_autopeep_cmH2O,total_peep_cmH2O,pplat_cmH2O,ppeak_cmH2O,alveolar_ventilation_l_min,paco2_mmHg,etco2_mmHg,ph,map_mmHg,trigger_work_index,external_peep_excess_cmH2O,barotrauma_risk,hemodynamic_risk,ventilation_risk,global_risk_score,unsafe_physiology,simulation_terminated,safety_message,scenario_id,scenario_label,vei_proxy_ml_kg,paco2_etco2_gap_mmHg,pip_minus_pplat_cmH2O
0.0,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,48.5,135.79999999999998,18.918973399250792,2.6480999999999995,0.27397214585375856,51.60378208558646,2.0641512834234583,2.981592414276818,2.5880222155922783,0.3935701986845399,5.981592414276818,14.570853394285129,63.07085339428513,1.2053823846077019,74.28037039809576,60.595142085420456,7.190199411884091,62.57727093105827,0.0,0.018407585723181796,low,low,low,1.0588035286954547,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,8.564151283423458,13.6852283126753,48.5
0.0833,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,47.51305023537537,133.036540659051,18.70909333980439,2.5942125428514946,0.26670204520468455,61.21367491738134,2.4485469966952538,3.576514745467226,3.104414799065552,0.47209994640167396,6.576514745467226,15.26213072100327,62.775180956378634,1.1927417652274304,75.06759016099966,61.058688919454276,7.1868656936792465,62.08119642712601,0.0,0.0,low,low,warning,1.0807369853816549,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,8.948546996695253,14.00890124154538,47.51305023537536
0.1667,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,47.49615084148515,132.9892223561584,18.664879931699552,2.5932898359450887,0.2665766604891747,63.238098365405015,2.5295239346162006,3.7035474228452347,3.214679163029664,0.4888682598155709,6.703547422845235,15.409737904361146,62.90588874584629,1.1881890421482078,75.35522280033936,61.25435406678705,7.185658705416538,61.964196130363746,0.0,0.0,low,low,warning,1.0961969903676136,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,9.0295239346162,14.10086873355231,47.49615084148515
0.25,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,47.47930166863931,132.94204467219006,18.6561235624015,2.592369871107706,0.2664516182755887,63.63903102557228,2.545561241022891,3.728777400177292,3.2365787833538895,0.4921986168234027,6.728777400177292,15.439054187124253,62.918355855763565,1.1874205881347966,75.40398987071951,61.28638582063232,7.185454646604375,61.941600588745786,0.0,0.0,low,low,warning,1.098814688108592,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,9.045561241022892,14.117604050087195,47.47930166863931
0.3333,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,47.462502567592665,132.89500718925945,18.654950076418974,2.591452640190559,0.2663269177277032,63.692762068728406,2.547710482749136,3.732160398686433,3.239515226059824,0.492645172626609,6.732160398686434,15.442985103889487,62.90548767148215,1.1874621609548124,75.40134999165436,61.28321986552924,7.185465688495705,61.93926209390786,0.0,0.0,low,low,warning,1.098673011644469,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,9.047710482749135,14.118130126125116,47.462502567592665
0.4167,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,47.44575338954353,132.8481094907219,18.655395699885542,2.590538135069077,0.2662025580107033,63.67235806384881,2.5468943225539524,3.7308756774676897,3.2384000880419546,0.4924755894257351,6.73087567746769,15.441492306253377,62.887245695796906,1.1876764454798712,75.38774582990371,61.272550352607354,7.185522598787978,61.94125002008283,0.0,0.0,low,low,warning,1.0979428595550957,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,9.046894322553953,14.115195477296353,47.445753389543526
0.5,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,47.429053986132466,132.80135116117089,18.65618516756588,2.5896263476428323,0.2660785382911846,63.63621027628747,2.545448411051499,3.728599812728422,3.23642463744827,0.49217517528015176,6.728599812728422,15.438847837201788,62.86790182333425,1.187927116539214,75.37183784544443,61.26030703790732,7.185589163256086,61.944155079063236,0.0,0.0,low,low,warning,1.0970889589047532,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,9.045448411051499,14.111530807537115,47.42905398613246
0.5833,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,47.412404209440865,132.7547317864344,18.657045937284906,2.588717269835471,0.26595485773715527,63.596797743365045,2.5438719097346016,3.726118619101987,3.234270961380525,0.4918476577214621,6.726118619101987,15.435964783721982,62.84836899316285,1.1881850376814387,75.35547676540037,61.24775705553925,7.185657642300496,61.947248597082435,0.0,0.0,low,low,warning,1.0962106252084622,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,9.043871909734602,14.107719709861115,47.412404209440865
0.6667,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,47.39580391198973,132.70825095357125,18.657919799996726,2.5878108935946393,0.2658315155180375,63.55678571443563,2.542271428577425,3.7235999187310105,3.232084729458517,0.4915151892724934,6.7235999187310105,15.433038148818618,62.82884206080835,1.188443986263955,75.33905765426111,61.23517088395661,7.185726383273629,61.95037495987706,0.0,0.0,low,low,warning,1.0953290619085465,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,9.042271428577425,14.103886770304499,47.39580391198973
0.75,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,47.37925294673836,132.6619082508674,18.658794335537383,2.5869072108919147,0.26570851080467,63.51674287832479,2.540669715132992,3.7210795152850222,3.2298970192673995,0.49118249601762276,6.721079515285022,15.430109535006277,62.80936248174464,1.1887026349446537,75.32266470004825,61.22260615512514,7.185795033774423,61.95350097147585,0.0,0.0,low,low,warning,1.0944487887834133,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,9.040669715132992,14.100058544923108,47.37925294673836
0.8333,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,47.362751167082976,132.61570326783232,18.659666900462522,2.58600621372273,0.26558584276930863,63.47679027186251,2.5390716108745006,3.718565026588051,3.2277144430784284,0.49085058350962285,6.718565026588051,15.427187793909372,62.789938960992345,1.1889607016260593,75.30631574075365,61.21007507380118,7.18586351898751,61.956619571834146,0.0,0.0,low,low,warning,1.093570764382187,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,9.039071610874501,14.096240666952468,47.362751167082976
0.9167,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,47.34629842685551,132.56963559519542,18.660536937674358,2.5851078941063106,0.2654635105856296,63.43695340318863,2.5374781361275454,3.716058056189327,3.225538392772336,0.49051966341699105,6.716058056189327,15.424274788791674,62.77057321564719,1.1892181272680624,75.2900144615922,61.19758015498118,7.18593182332512,61.95972927771017,0.0,0.0,low,low,warning,1.0926951875233428,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,9.037478136127545,14.092434306611011,47.34629842685551
1.0,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,47.32989458032225,132.5237048249023,18.661404335041965,2.584212244085595,0.26534151342873025,63.39723740650354,2.5358894962601415,3.7135589250733707,3.2233691469636856,0.4901897781096851,6.713558925073371,15.421370892625092,62.75126547294734,1.1894749004043883,75.27376153087398,61.185121848148995,7.185999943829182,61.96282979512024,0.0,0.0,low,low,warning,1.0918220950498816,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,9.035889496260141,14.088639682724988,47.32989458032225
